ID,AUTHOR NAME,BOOK/SERIES NAME,BOOKS PLEDGED,LINK MUST END IN ASIN,Clean ASIN,Clean Amazon US Link,Wide?,SPFBO/SPSFC?,SPFBO/SPSFC Cohort,Direct?,Direct link,Books available Internationally,International?,Image URL (for Rose's use),Kobo Link,Smashwords Link,Google Play Link,Apple Books Link,Barnes & Noble Link
87,JAMES LLOYD DULIN,Malitu,2,https://www.amazon.com/gp/product/B0BSG3ZKBH,B0BSG3ZKBH,https://www.amazon.com/dp/B0BSG3ZKBH,FALSE,TRUE,SPFBO9,FALSE,,,TRUE,"https://m.media-amazon.com/images/I/815YVctSP2L._CLa%7C3296,2560%7C81KSvJ60kVL.jpg%7C0,0,1644,2560+1652,0,1644,2560_._SY300_.jpg",,,,,
88,BEN SCHENKMAN,The Devil You Know,3,https://www.amazon.com/dp/B0CQRGD7FV,B0CQRGD7FV,https://www.amazon.com/dp/B0CQRGD7FV,FALSE,TRUE,SPFBOX,FALSE,,,TRUE,"https://m.media-amazon.com/images/I/81lY9OoHxxL._CLa%7C3026,2551%7C91W112GAKQL.jpg,91ZZ2HG7HtL.jpg%7C0,0,1375,2551+1651,0,1375,2551+687,0,1651,2551_._SY300_.jpg",,,,,
89,JAMIE MERRIL,The Druid's Son,1,https://www.amazon.com/dp/B0DFVQHQMS,B0DFVQHQMS,https://www.amazon.com/dp/B0DFVQHQMS,FALSE,FALSE,,FALSE,,,FALSE,,,,,,
90,ELIZA LEONE,The Final Keeper Trilogy: Keeper's Reign,1,https://www.amazon.com/dp/B0CNP2HX5T,B0CNP2HX5T,https://www.amazon.com/dp/B0CNP2HX5T,TRUE,FALSE,,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/keeper-s-secrets,,,https://books.apple.com/book/keepers-reign/id65045012044,
91,ROANNA SYLVER,Stake Sauce,1,https://www.amazon.com/dp/B0784V2CV9,B0784V2CV9,https://www.amazon.com/dp/B0784V2CV9,TRUE,FALSE,,FALSE,,,FALSE,,https://www.kobo.com/en/ebook/arc-1-the-secret-ingredient-is-love-no-really,https://www.smashwords.com/books/view/1495593,,,https://www.barnesandnoble.com/w/arc-1-roanna-sylver/1127308193?ean=2940154899052
92,ROANNA SYLVER,Chameleon Moon,1,https://www.amazon.com/dp/B01LW0O7KJ,B01LW0O7KJ,https://www.amazon.com/dp/B01LW0O7KJ,TRUE,FALSE,,FALSE,,,FALSE,,https://www.kobo.com/en/ebook/chameleon-moon,https://www.smashwords.com/books/view/664635,,https://books.apple.com/book/chameleon-moon/id1153266754,https://www.barnesandnoble.com/w/chameleon-moon-roanna-sylver/1120646993?ean=2940153378015
93,S.F. HENNE,The Lunar Order Chronicles,1,https://www.amazon.com/dp/B0CNNZ2639,B0CNNZ2639,https://www.amazon.com/dp/B0CNNZ2639,FALSE,TRUE,SPFBOX,FALSE,,,FALSE,"https://m.media-amazon.com/images/I/8185TTVihIL._CLa%7C2585,2250%7C81poZ0x2MsL.jpg,812cMNl+u2L.jpg%7C0,0,1175,2250+1410,0,1175,2250+587,0,1410,2250_._SY300_.jpg",,,,,
94,DAVID ESTES & DYRK ASHTON,Kraken RIder Z,1,https://www.amazon.com/gp/aw/d/B0CM57D2BP,B0CM57D2BP,https://www.amazon.com/dp/B0CM57D2BP,FALSE,FALSE,,FALSE,,,FALSE,,,,,,
95,DAVID ESTES,Fatemarked,1,https://www.amazon.com/dp/1943363269,B01MTEK3NM,https://www.amazon.com/dp/B01MTEK3NM,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
96,DAVID ESTES,Kingfall,1,https://www.amazon.com/Kingfall-David-Estes/dp/B099C5P1HY,B099C5P1HY,https://www.amazon.com/dp/B099C5P1HY,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
